unit,region,preproc,model,thresh,score
oo1920_6_B,L,rawspectrogram,sepnl_dists,0.00,0.361296
oo1920_6_B,L,rawspectrogram,sepnl_dists,0.25,0.369921
oo1920_6_B,L,rawspectrogram,sepnl_dists,0.50,0.391702
oo1920_6_B,L,rawspectrogram,sepnl_dists,0.75,0.398769
oo1920_6_B,L,rawspectrogram,sepnl_dists,1.00,0.385283
oo1920_6_B,L,rawspectrogram,poisson,0.00,0.192336
oo1920_6_B,L,rawspectrogram,poisson,0.25,0.197522
oo1920_6_B,L,rawspectrogram,poisson,0.50,0.345031
oo1920_6_B,L,rawspectrogram,poisson,0.75,0.393084
oo1920_6_B,L,rawspectrogram,poisson,1.00,0.447609
oo1920_6_B,L,rawspectrogram,binomial,0.00,0.148298
oo1920_6_B,L,rawspectrogram,binomial,0.25,0.156427
oo1920_6_B,L,rawspectrogram,binomial,0.50,0.308486
oo1920_6_B,L,rawspectrogram,binomial,0.75,0.396533
oo1920_6_B,L,rawspectrogram,binomial,1.00,0.445640
oo1920_6_B,L,rawspectrogram,leglm,0.00,0.192805
oo1920_6_B,L,rawspectrogram,leglm,0.25,0.225281
oo1920_6_B,L,rawspectrogram,leglm,0.50,0.359089
oo1920_6_B,L,rawspectrogram,leglm,0.75,0.411519
oo1920_6_B,L,rawspectrogram,leglm,1.00,0.431316
oo1920_6_B,L,lyons,linear,0.00,0.300509
oo1920_6_B,L,lyons,linear,0.25,0.291461
oo1920_6_B,L,lyons,linear,0.50,0.293127
oo1920_6_B,L,lyons,linear,0.75,0.284479
oo1920_6_B,L,lyons,linear,1.00,0.254239
oo1920_6_B,L,lyons,sepnl_spline,0.00,0.352397
oo1920_6_B,L,lyons,sepnl_spline,0.25,0.371699
oo1920_6_B,L,lyons,sepnl_spline,0.50,0.375437
oo1920_6_B,L,lyons,sepnl_spline,0.75,0.370070
oo1920_6_B,L,lyons,sepnl_spline,1.00,0.340443
oo1920_6_B,L,lyons,sepnl_dists,0.00,0.336513
oo1920_6_B,L,lyons,sepnl_dists,0.25,0.301406
oo1920_6_B,L,lyons,sepnl_dists,0.50,0.298330
oo1920_6_B,L,lyons,sepnl_dists,0.75,0.305492
oo1920_6_B,L,lyons,sepnl_dists,1.00,0.343829
oo1920_6_B,L,lyons,poisson,0.00,0.124149
oo1920_6_B,L,lyons,poisson,0.25,0.115749
oo1920_6_B,L,lyons,poisson,0.50,0.272058
oo1920_6_B,L,lyons,poisson,0.75,0.469474
oo1920_6_B,L,lyons,poisson,1.00,0.475610
oo1920_6_B,L,lyons,binomial,0.00,0.120011
oo1920_6_B,L,lyons,binomial,0.25,0.177987
oo1920_6_B,L,lyons,binomial,0.50,0.282892
oo1920_6_B,L,lyons,binomial,0.75,0.457747
oo1920_6_B,L,lyons,binomial,1.00,0.461593
